timestamp,filename,top1_name_en,top1_name_vi,confidence,wiki_found
2026-04-19T11:40:48.143590,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-04-19T11:40:58.625618,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-04-19T11:41:05.528039,tải xuống (5).jfif,american_pit_bull_terrier,american_pit_bull_terrier,80.1,false
2026-04-19T11:44:23.190557,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-04-19T11:44:30.760026,tải xuống (5).jfif,american_pit_bull_terrier,Chó Pit Bull Mỹ,80.1,false
2026-04-19T11:44:40.481424,tải xuống (9).jfif,Persian,Mèo Ba Tư,78.8,false
2026-04-19T20:02:03.131786,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-05-04T11:30:11.214251,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-05-04T11:30:18.763980,images.jfif,american_pit_bull_terrier,Chó Pit Bull Mỹ,27.9,false
2026-05-04T11:30:29.814465,tải xuống (1).jfif,Ragdoll,Mèo Ragdoll,97.7,false
2026-05-04T11:30:34.342642,tải xuống (2).jfif,Siamese,Mèo Xiêm,83.4,false
2026-05-04T11:30:47.576278,tải xuống (5).jfif,american_pit_bull_terrier,Chó Pit Bull Mỹ,80.1,false
2026-05-04T11:30:52.672416,tải xuống (6).jfif,chihuahua,Chó Chihuahua,73.8,false
2026-05-04T11:31:14.512946,tải xuống (9).jfif,Persian,Mèo Ba Tư,78.8,false
2026-05-04T11:31:20.937133,tải xuống2.jfif,keeshond,Chó Keeshond,12.1,false
2026-05-04T14:20:30.358241,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-05-04T14:23:19.707004,tải xuống (9).jfif,Persian,Mèo Ba Tư,78.8,false
2026-05-04T14:23:25.856152,tải xuống (2).jfif,Siamese,Mèo Xiêm,83.4,false
2026-05-04T16:01:01.580496,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-05-04T16:16:42.863708,0c6f9eb1d9edb819560eb60e7d64e5c2.jpg,shiba_inu,Chó Shiba Inu,95.7,false
2026-05-04T16:17:02.337941,tải xuống2.jfif,keeshond,Chó Keeshond,12.1,false
2026-05-04T16:17:22.206899,tải xuống (8).jfif,Persian,Mèo Ba Tư,73.8,false
2026-05-04T16:17:35.436131,tải xuống (1).jfif,Ragdoll,Mèo Ragdoll,97.7,false
